id,strategy,company_extracted,role_extracted,yoe_extracted,company_golden,role_golden,yoe_golden,company_match,role_match,yoe_match,accuracy,latency,input_tokens,output_tokens,cost,judge_score,judge_reason
j06,few_shot,Pied Piper Inc.,Senior ML Engineer,7,Pied Piper Inc.,Senior ML Engineer,7.0,True,True,True,1.0,1.184,184,30,0.000137,4,"The extracted results correctly identify the company, role, and years of experience required, but they miss the nuance that exceptional candidates with less experience are also welcome."
j07,few_shot,Soylent Industries,Engineering Manager,3,Soylent Industries,Engineering Manager,3.0,True,True,True,1.0,1.332,183,30,0.000137,5,"The extracted results perfectly match the expected results, capturing all key details accurately."
j08,few_shot,Wonka Confectionery Ltd.,Senior UX Researcher,5,Wonka Confectionery Ltd,Senior UX Researcher,5.0,False,True,True,0.6667,1.126,176,33,0.000138,4,"The extracted results are almost perfect but missed the detail about the ""or equivalent portfolio"" requirement."
j09,few_shot,Stark Industries,Cybersecurity Analyst,3-5,Stark Industries,Cybersecurity Analyst,3.0,True,True,False,0.6667,1.559,181,63,0.000185,4,The extracted results are mostly accurate but slightly misrepresent the years of experience required by providing a range instead of the minimum specified in the job posting.
j10,few_shot,Cyberdyne Systems,AI/ML Research Scientist,Demonstrated impact,Cyberdyne Systems,AI/ML Research Scientist,,True,True,False,0.6667,1.31,188,61,0.000186,3,"The extracted result correctly identifies the company and role, but misinterprets the years of experience requirement, which should be ""None"" instead of ""Demonstrated impact."""
j01,structured_prompt,Acme Corp,Senior Software Engineer,5,Acme Corp,Senior Software Engineer,5.0,True,True,True,1.0,1.227,124,29,0.000106,4,The extracted results are mostly accurate but miss the requirement for strong skills in Python and distributed systems.
j02,structured_prompt,Northwind Ltd,Data Analyst,2,Northwind Ltd,Data Analyst,2.0,True,True,True,1.0,1.509,128,28,0.000106,5,The extracted results perfectly match the expected results.
j03,structured_prompt,Globex International,Product Manager - Growth,4,Globex International,Product Manager - Growth,4.0,True,True,True,1.0,1.228,133,31,0.000113,5,"The extracted results perfectly match the expected results, capturing all key details accurately."
j04,structured_prompt,Initech,Lead DevOps Engineer,6,Initech,Lead DevOps Engineer,6.0,True,True,True,1.0,1.229,132,29,0.00011,5,The extracted results perfectly match the expected results with no missing or incorrect information.
j05,structured_prompt,Hooli,Junior Frontend Developer,,Hooli,Junior Frontend Developer,0.0,True,True,False,0.6667,1.331,127,29,0.000107,4,"The extracted results are accurate but use ""None"" instead of ""0"" for years of experience required, which is a minor discrepancy."
j06,structured_prompt,Pied Piper Inc.,Senior ML Engineer,7,Pied Piper Inc.,Senior ML Engineer,7.0,True,True,True,1.0,1.216,131,30,0.000111,4,"The extracted results correctly identify the company and role, but the years of experience required should note that exceptional candidates with less experience are also welcome."
j07,structured_prompt,Soylent Industries,Engineering Manager,3,Soylent Industries,Engineering Manager,3.0,True,True,True,1.0,1.636,130,30,0.00011,5,"The extracted results perfectly match the expected results, capturing all the key information accurately."
j08,structured_prompt,Wonka Confectionery Ltd,Senior UX Researcher,5,Wonka Confectionery Ltd,Senior UX Researcher,5.0,True,True,True,1.0,1.741,123,33,0.000111,4,The extracted results are mostly accurate but miss the detail that an equivalent portfolio is also acceptable in lieu of five years of experience.
j09,structured_prompt,Stark Industries,Cybersecurity Analyst,3,Stark Industries,Cybersecurity Analyst,3.0,True,True,True,1.0,1.74,128,30,0.000109,4,The extracted results are mostly accurate but lack the full range of years of experience required (3 to 5 years).
j10,structured_prompt,Cyberdyne Systems,AI/ML Research Scientist,,Cyberdyne Systems,AI/ML Research Scientist,,True,True,True,1.0,1.74,135,32,0.000116,5,"The extracted results perfectly match the expected results, accurately reflecting the job posting details."
j01,cot_prompt,Acme Corp,Senior Software Engineer,5,Acme Corp,Senior Software Engineer,5.0,True,True,True,1.0,1.945,151,29,0.000119,4,The extracted results are mostly accurate but miss the requirement for strong skills in Python and distributed systems.
j02,cot_prompt,Northwind Ltd,Data Analyst,2,Northwind Ltd,Data Analyst,2.0,True,True,True,1.0,1.747,155,28,0.00012,5,The extracted results perfectly match the expected results.
j03,cot_prompt,Globex International,Product Manager - Growth,4,Globex International,Product Manager - Growth,4.0,True,True,True,1.0,2.151,160,31,0.000127,5,"The extracted results perfectly match the expected results, capturing all key details accurately."
j04,cot_prompt,Initech,Lead DevOps Engineer,6,Initech,Lead DevOps Engineer,6.0,True,True,True,1.0,1.33,159,29,0.000123,5,The extracted results perfectly match the expected results with no missing or incorrect information.
j05,cot_prompt,Hooli,Junior Frontend Developer,,Hooli,Junior Frontend Developer,0.0,True,True,False,0.6667,1.103,154,29,0.000121,4,"The extracted results are accurate but use ""None"" instead of ""0"" for years of experience required, which is a minor discrepancy."
j06,cot_prompt,Pied Piper Inc.,Senior ML Engineer,7,Pied Piper Inc.,Senior ML Engineer,7.0,True,True,True,1.0,1.127,158,30,0.000124,4,"The extracted results correctly identify the company, role, and years of experience required, but they miss the nuance that exceptional candidates with less experience are also welcome."
j07,cot_prompt,Soylent Industries,Engineering Manager,3,Soylent Industries,Engineering Manager,3.0,True,True,True,1.0,1.228,157,30,0.000123,5,"The extracted results perfectly match the expected results, capturing all the key information accurately."
j08,cot_prompt,Wonka Confectionery Ltd,Senior UX Researcher,5,Wonka Confectionery Ltd,Senior UX Researcher,5.0,True,True,True,1.0,1.89,150,33,0.000124,4,The extracted results are mostly accurate but miss the detail that an equivalent portfolio is also acceptable in place of five years of experience.
j09,cot_prompt,Stark Industries,Cybersecurity Analyst,3,Stark Industries,Cybersecurity Analyst,3.0,True,True,True,1.0,1.551,155,30,0.000122,4,The extracted results are mostly accurate but lack the full range of years of experience required (3 to 5 years).
j10,cot_prompt,Cyberdyne Systems,AI/ML Research Scientist,,Cyberdyne Systems,AI/ML Research Scientist,,True,True,True,1.0,1.33,162,32,0.000129,5,"The extracted results perfectly match the expected results, accurately reflecting the job posting details."
